Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depends),Outward issue link (Duplicate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Related),Outward issue link (Related),Outward issue link (Supersede),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Actual Story Points),Custom field (Business Value),Custom field (Days since last comment),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (First Response Date),Custom field (Global Rank),Custom field (Last commented by a User),Custom field (Last updater),Custom field (Out of Scope),Custom field (Platform),Custom field (Pull Request URL),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ranking),Custom field (Reference URL),Custom field (Spring Forum Reference),Sprint,Custom field (Story Points),Custom field (Virtual Machine),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Error Channel for streams modules that fail to process a message,XD-923,51199,,Story,Done,XD,Spring XD,software,mark.pollack,"This JIRA project is closed.

Spring XD is a unified, distributed, and extensible system for data ingestion, real time analytics, batch processing, and data export. The project's goal is to simplify the development of big data applications.",https://github.com/spring-projects/spring-xd,Major,Complete,grussell,grenfro,grenfro,04/Oct/13 8:00 AM,31/Oct/14 10:04 AM,10/May/19 2:35 AM,31/Oct/14 10:04 AM,,,,,,,,1.1 M1,,,,,,,,,0,,,,,,,,"As a user, I'd like to be notified when a exception is thrown in a module so that I can tap into an error channel to receive the failures for each stream/module.

",,;27/Oct/14 12:02 PM;grussell;10800,,,,,,,,,0,10800,,,0,10800,,,,,,,,,,,,,,,,,,,,,,,,"* DLQ and binding it to some default DLE would make it easier to configure
* Possibly have an error channel at the stream level
* The payload of the message will be the message that failed",4.0,,142992000,,,,,2014-06-02 08:28:53.821,37689,false,tmarshall(tmarshall),"* Custom exception handling
* DLE naming configs
* Routing key options
",,,0|i000db:,61,37391,,,Sprint 37,8.0,,"02/Jun/14 8:28 AM;mark.fisher;Perhaps in the StreamPlugin we can simply bind the ""errorChannel"" (which is always available) to the MessageBus with a reserved channel name, e.g. tap:stream:foo.errors. Then anyone could create streams with that as the ""source channel"", e.g.: tap:stream:foo.errors > anysink (or we might want to make the errors channel global with an optional qualifier per-stream, similar to the way batch jobs taps are exposed as ""tap:job:somejob"" or ""tap:job:somejob.items"").",06/Jun/14 11:21 AM;mark.pollack;The current rabbit support will send messages that can't be processed to a dead latter queue.,"27/Oct/14 11:58 AM;grussell;PR: https://github.com/spring-projects/spring-xd/pull/1249

Note, item 2 - it doesn't make sense (to me) to have a single stream-wide DLQ because the contents will be mixed.

This pull request adds an option to automatically declare and bind the DLQ for each ""pipe"" (consumer) queue in the stream. The option can be set at the bus or consumer level.

All DLQs for all streams are bound to a single DLX, (named {{xdbus.DLX}} by default).",,,,,,,,,,,,,,,,,,,,,
SimpleNamespaceContext.removeBinding() does not clean up all references,SWS-819,46541,,Bug,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Critical,Fixed,arjen.poutsma,tthomas,tthomas,06/Dec/12 10:21 AM,10/Dec/12 2:20 AM,10/May/19 2:36 AM,07/Dec/12 2:39 AM,1.5.9,2.1.2,,,,,,2.1.3,,,,,XML,,,,0,,,,,,,,"In SimpleNamespaceContext.removeBinding() the first line should be changed to 

String namespaceUri = prefixToNamespaceUri.remove(prefix);

Otherwise the internal map prefixToNamespaceUri still contains the prefix, and hasBinding(String prefix) behaves incorrectly.

This is error is critical, as under certain circumstances XML schema validation fails. If necessary I can provide an example. ",n/a,;07/Dec/12 2:39 AM;arjen.poutsma;600,,,,,,,,3600,3600,600,16%,3600,3600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,202348800,,,,,2012-12-07 02:39:31.212,33280,false,arjen.poutsma(arjen.poutsma),,,,0|i060db:,35098,32982,,,,,,07/Dec/12 2:39 AM;arjen.poutsma;Fixed! Thanks for spotting this.,"09/Dec/12 6:35 AM;tthomas;Your welcome. Took me a whole day to track this down. Didn't expect an error at this level, quite surprising that this one could live for so long.

Please also fix for 1.5.10 as this is the version we're currently using. Thanks. ","10/Dec/12 2:20 AM;arjen.poutsma;I've fixed this in the 1.5 branch in SVN, but I am afraid there won't be a 1.5.11 that contains it, as it is not supported anymore.",,,,,,,,,,,,,,,,,,,,,
Error loading SAML properties file,SWS-815,46515,,Bug,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Minor,Fixed,arjen.poutsma,jaminh,jaminh,04/Dec/12 12:44 PM,05/Dec/12 6:09 AM,10/May/19 2:36 AM,05/Dec/12 1:39 AM,2.1.2,,,,,,,2.1.3,,,,,Security,,,,0,,,,,,,,Wss4j is unable to load the properties file when it is given an absolute path. Wss4j is using the ClassLoader to load the properties file. See http://grepcode.com/file/repository.springsource.com/org.apache.ws/com.springsource.org.apache.ws.security/1.6.5/org/apache/ws/security/saml/SAMLIssuerFactory.java#SAMLIssuerFactory.getProperties%28java.lang.String%29 for how the saml properties file gets loaded by Wss4j.,,;05/Dec/12 1:29 AM;arjen.poutsma;300,,,,,,,,,,300,,,,300,,,,,,,,SWS-796,,,,,,,,,,,,,,,,,,,202694400,,,,,2012-12-05 01:39:22.445,33254,true,jaminh(jaminh),,,,0|i0607r:,35073,32956,,,,,,04/Dec/12 12:45 PM;jaminh;Related to https://jira.springsource.org/browse/SWS-796,"04/Dec/12 1:19 PM;jaminh;It is probably worth mentioning that I used a ClassPathResource for specifying the saml properties location. Perhaps if I used a different kind of Resource getAbsolutePath() would just return the string I pass into it when I construct it? Ultimately I think using Resource for the parameter on the setSamlProperties() method in the Wss4jSecurityInterceptor is inappropriate since the properties file has to be on the Classpath. Perhaps it would make sense to require a ClassPathResource that way we can ensure that the file is on the classpath and that it exists, but instead of calling getFile().getAbsolutePath() we can just call getPath().","05/Dec/12 1:39 AM;arjen.poutsma;I'm sorry for this. I thought that using a Resource would allow for more flexibility, but it turns out WSS4J is a bit picky (as always).

I have changed the Resource parameter into a String in SVN. I've also triggered a snapshot build of 2.1.3 that contains this change. Could you please try a snapshot and see if it works? See http://static.springsource.org/spring-ws/site/downloads/snapshots.html",05/Dec/12 6:09 AM;jaminh;Tried it with the snapshot and it worked. Thanks.,,,,,,,,,,,,,,,,,,,,
Document @SoapHeader in reference guide,SWS-812,46303,,Improvement,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Minor,Complete,arjen.poutsma,mdeinum,mdeinum,23/Nov/12 1:51 AM,30/Nov/12 3:34 AM,10/May/19 2:36 AM,30/Nov/12 3:34 AM,,,,,,,,2.1.2,,,,,Documentation,,,,0,,,,,,,,Currently the @SoapHeader annotation isn't mentioned in the reference guide.,,;30/Nov/12 3:34 AM;arjen.poutsma;240,,,,,,,,,,240,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,203817600,,,,,,33103,true,arjen.poutsma(arjen.poutsma),,,,0|i05za7:,34922,32805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When using annotation-driven register the SoapHeaderElementMethodArgumentResolver by default.,SWS-811,46301,,Improvement,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Minor,Fixed,arjen.poutsma,mdeinum,mdeinum,23/Nov/12 1:19 AM,30/Nov/12 3:25 AM,10/May/19 2:36 AM,30/Nov/12 3:25 AM,2.1.1,,,,,,,2.1.2,,,,,Core,,,,0,,,,,,,,When using the @SoapHeader annotation it is required that the SoapHeaderElementMethodArgumentResolver is registered. However this one isn't active by default. Would be a nice addition if this would be supported by default when using the annotation-driven xml element (and maybe also as a default strategy inside the DefaultMethodEndpointHandler).,,;30/Nov/12 3:25 AM;arjen.poutsma;1020,,,,,,,,,,1020,,,,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,203126400,,,,,2012-11-30 03:25:33.918,33101,false,arjen.poutsma(arjen.poutsma),,,,0|i05z9r:,34920,32803,,,,,,30/Nov/12 3:25 AM;arjen.poutsma;Fixed!,,,,,,,,,,,,,,,,,,,,,,,
add support to pass in sslSocketFactory to org.springframework.ws.transport.http.HttpsUrlConnectionMessageSender,SWS-808,45966,,New Feature,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Minor,Complete,arjen.poutsma,mores,mores,02/Nov/12 10:14 AM,30/Nov/12 2:28 AM,10/May/19 2:36 AM,30/Nov/12 2:28 AM,2.1.1,,,,,,,2.1.2,,,,,,,,,0,,,,,,,,Here is a patch that allows a sslSocketFactory to be passed in.,,;30/Nov/12 2:27 AM;arjen.poutsma;1140,,,,,,,,,,1140,,,,1140,,,,,,,,,,,,,,02/Nov/12 10:14 AM;mores;HttpsUrlConnectionMessageSender.patch;https://jira.spring.io/secure/attachment/20599/HttpsUrlConnectionMessageSender.patch,,,,,,,,,,,,,203212800,,,,,2012-11-30 02:28:15.937,32856,false,arjen.poutsma(arjen.poutsma),,,,0|i05xsn:,34681,32558,,,,,,"30/Nov/12 2:28 AM;arjen.poutsma;Patch applied, with minor changes. Thanks for the patch!",,,,,,,,,,,,,,,,,,,,,,,
Introduce FactoryBean for javax.net.ssl.KeyManagerFactory,SWS-807,45930,,New Feature,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Minor,Complete,arjen.poutsma,mores,mores,31/Oct/12 8:33 AM,30/Nov/12 3:02 AM,10/May/19 2:36 AM,30/Nov/12 3:02 AM,2.1.1,,,,,,,2.1.2,,,,,Security,,,,0,client-side-certificate,,,,,,,"A webservice can be protected by a client side certificate, if so the SSLContext.init() needs the KeyManagerFactory. 

",,;30/Nov/12 3:01 AM;arjen.poutsma;1740,,,,,,,,,,1740,,,,1740,,,,,,,,,,,,,,31/Oct/12 9:45 AM;mores;KeyManagerFactoryBean.java;https://jira.spring.io/secure/attachment/20595/KeyManagerFactoryBean.java,31/Oct/12 8:33 AM;mores;KeyManagerFactoryBean.java;https://jira.spring.io/secure/attachment/20594/KeyManagerFactoryBean.java,,,,,,,,,,,,203126400,,,,,2012-11-30 03:02:02.859,32820,false,arjen.poutsma(arjen.poutsma),,,,0|i05xl3:,34647,32522,http://vafer.org/blog/20061010073725/,,,,,"31/Oct/12 9:45 AM;mores;Now returns KeyManager[] instead of KeyManagerFactory.

Tested with org.springframework.ws.transport.http.HttpsUrlConnectionMessageSender","30/Nov/12 3:02 AM;arjen.poutsma;Class added, with minor differences. Thanks for the patch!",,,,,,,,,,,,,,,,,,,,,,
@ symbol in the content-id is converted to %40. The receiving web server is not able to handle it,SWS-806,45922,,Bug,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Major,Works as Designed,arjen.poutsma,jashandeep,jashandeep,30/Oct/12 8:01 PM,03/Dec/12 5:57 AM,10/May/19 2:36 AM,03/Dec/12 5:56 AM,1.5.6,,,,,,,2.1.2,,,,,XML,,,,0,,,,,,,,"Hi,

Spring ws version :1.5.6
Marshaller: Jaxb2Marshaller

Problem description: I am sending a series of Spring MTOM attachments to a webservice.In the Content-Id inside the ""XOP"" tag in the request XML there is a special character '@' which is encoded as % + ASCII hexadecimal
The web service provider is not able to handle this. 

Please refer the following XML for issue.
<ns10:FingerImpressionImage>
- <<ns6:BinaryBase64Object>
  <<xop:Include href=""cid:be434728-da9e-4b88-858f-065cc11074a0%40niem.gov"" xmlns:xop=""http://www.w3.org/2004/08/xop/include"" /> 
  </ns6:BinaryBase64Object>

---      ------=_Part_4_1104626135.1351225350567
Content-Type: application/octet-stream
Content-Transfer-Encoding: binary
Content-Id: <be434728-da9e-4b88-858f-065cc11074a0@niem.gov>

My question is as follows
1. Is this an issue or is that a standard process of encoding the Content-Id
2. Can I stop encoding from happening.
3. How is the Content-Id in Spring generated. How can i stop using Spring from using @niem.gov in the Content-Id.
4. In which jar file is the code for Content-Id.
5. Should this be handled at the service provider or consumer side.
6. How can i get around this problem? 
",,;03/Dec/12 5:57 AM;arjen.poutsma;4020,,,,,,,,,,4020,,,,4020,,,,,,,,,,,,,,,,,,,,,,,,,,,202867200,,,,,2012-12-03 05:55:32.293,32812,false,arjen.poutsma(arjen.poutsma),,,,0|i05xjb:,34639,32514,,,,,,"03/Dec/12 5:55 AM;arjen.poutsma;Hi,

Let me try and answer your questions:

1. This is a standard process. Content-IDs are URIs, and therefor need to be encoded.
2. You currently can't. However, if you want to customize the marshalling process, take a look at the Jaxb2AttachmentMarshaller and Jaxb2AttachmentUnmarshaller classes inside org.springframework.oxm.jaxb.Jaxb2Marshaller. Note that these classes are in the Spring Framework, not Spring Web Services.
3. It is generated from the element name space that the attachment is attached to. So in your case, niem.gov is probably the namespace of the XML element of the attachment.
4. Not sure I understand this question. Spring-WS is correct here, and has no problem interacting with other WS implementations doing MTOM. See the mton sample, for instance, which has a JAX-WS client.
5. Like I said in 2, take a look at the Jaxb2Marshaller in SPR, and create a custom subclass.",,,,,,,,,,,,,,,,,,,,,,,
WebServiceMessageReceiverHandlerAdapter not easily overridable to produce SOAP faults,SWS-804,45750,,Defect,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Minor,Fixed,arjen.poutsma,machine,machine,15/Oct/12 10:28 PM,30/Nov/12 3:49 AM,10/May/19 2:36 AM,30/Nov/12 3:49 AM,2.1 GA,,,,,,,2.1.2,,,,,,,,,0,,,,,,,,"WebServiceMessageReceiverHandlerAdapter has been changed recently to catch InvalidXmlException and return a HTTP 400 status code. We would like to instead return a SOAP fault with a detailed message of the parse error (I'm not certain but returning 400 is probably against the SOAP spec). This is impossible with the new implementation of WebServiceMessageReceiverHandlerAdapter without re-implementing the handle(...) method. 

Could the handling of this exception (and probably the non-POST transport method) be done by a separate protected method such that it can be overridden?",,;30/Nov/12 3:48 AM;arjen.poutsma;720,,,,,,,,,,720,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,203126400,,,,,2012-11-30 03:49:30.517,32674,false,arjen.poutsma(arjen.poutsma),,,,0|i05wov:,34502,32374,,,,,,30/Nov/12 3:49 AM;arjen.poutsma;Fixed!,,,,,,,,,,,,,,,,,,,,,,,
Ensure that only valid Java Identifiers are added to JMS headers,SWS-798,45542,,Improvement,Resolved,SWS,Spring Web Services,software,gregturn,,http://projects.spring.io/spring-ws/,Minor,Fixed,arjen.poutsma,markdb,markdb,24/Sep/12 7:09 PM,02/Jul/13 2:31 AM,10/May/19 2:36 AM,25/Sep/12 4:20 AM,,,,,,,,2.1.2,,,,,,,,,0,,,,,,,,"This is related to closed issue SWS-252.  The mime header property that is returning an exception is ""Accept-Encoding"". Need a way to ensure that valid Java Identifiers are added to jms headers or somehow eliminated. The current implementation just returns the given header name if no match is found in the CONVERSION_TABLE and set into the message header. ",,;25/Sep/12 4:20 AM;arjen.poutsma;1440,,,,,,,,,,1440,,,,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,208828800,,,,,2012-09-25 04:21:00.344,32463,false,arjen.poutsma(arjen.poutsma),,,,0|i05vf3:,34296,32163,,,,,,24/Sep/12 7:14 PM;markdb;The correct closed issue is SWS-258 not 252 as originally stated.,25/Sep/12 4:21 AM;arjen.poutsma;Fixed. JmsTransportUtils now has a fallback mechanism for headers that are not in the conversion table.,,,,,,,,,,,,,,,,,,,,,,
